,img,label
0,0-186.png,Shirt
1,0-186.png,Coat
2,0-186.png,Pullover
3,2-282.png,Shirt
4,2-282.png,Shirt
5,2-282.png,Shirt
6,2-155.png,Shirt
7,2-155.png,Shirt
8,2-155.png,Shirt
9,0-44.png,Pullover
10,0-44.png,Shirt
11,0-44.png,Shirt
12,2-164.png,Pullover
13,2-164.png,Pullover
14,2-164.png,Pullover
15,1-34.png,Pullover
16,1-34.png,Pullover
17,1-34.png,Pullover
18,1-197.png,Pullover
19,1-197.png,Pullover
20,1-197.png,Pullover
21,0-210.png,Pullover
22,0-210.png,Coat
23,0-210.png,Coat
24,2-22.png,Pullover
25,2-22.png,Coat
26,2-22.png,Pullover
27,2-28.png,Shirt
28,2-28.png,Shirt
29,2-28.png,Pullover
30,1-190.png,Pullover
31,1-190.png,Pullover
32,1-190.png,Shirt
33,0-268.png,Shirt
34,0-268.png,Shirt
35,0-268.png,Coat
36,1-228.png,Pullover
37,1-228.png,Coat
38,1-228.png,Pullover
39,2-44.png,Shirt
40,2-44.png,Coat
41,2-44.png,Coat
42,1-283.png,Pullover
43,1-283.png,Pullover
44,1-283.png,Pullover
45,2-69.png,Pullover
46,2-69.png,Pullover
47,2-69.png,Shirt
48,2-272.png,Shirt
49,2-272.png,Shirt
50,2-272.png,Pullover
51,1-245.png,Pullover
52,1-245.png,Coat
53,1-245.png,Coat
54,1-77.png,Pullover
55,1-77.png,Shirt
56,1-77.png,Pullover
57,2-289.png,Shirt
58,2-289.png,Coat
59,2-289.png,Shirt
60,0-197.png,Shirt
61,0-197.png,Coat
62,0-197.png,Shirt
63,1-220.png,Pullover
64,1-220.png,Pullover
65,1-220.png,Pullover
66,1-91.png,Pullover
67,1-91.png,Pullover
68,1-91.png,Coat
69,2-287.png,Shirt
70,2-287.png,Shirt
71,2-287.png,Pullover
72,1-123.png,Pullover
73,1-123.png,Pullover
74,1-123.png,Shirt
75,0-26.png,Coat
76,0-26.png,Shirt
77,0-26.png,Shirt
78,0-183.png,Pullover
79,0-183.png,Pullover
80,0-183.png,Coat
81,1-217.png,Shirt
82,1-217.png,Coat
83,1-217.png,Pullover
84,2-223.png,Coat
85,2-223.png,Pullover
86,2-223.png,Pullover
87,2-294.png,Pullover
88,2-294.png,Pullover
89,2-294.png,Coat
90,2-50.png,Shirt
91,2-50.png,Shirt
92,2-50.png,Shirt
93,1-2.png,Pullover
94,1-2.png,Pullover
95,1-2.png,Pullover
96,0-166.png,Coat
97,0-166.png,Shirt
98,0-166.png,Pullover
99,2-106.png,Pullover
100,2-106.png,Shirt
101,2-106.png,Shirt
102,2-198.png,Shirt
103,2-198.png,Coat
104,2-198.png,Pullover
105,1-133.png,Pullover
106,1-133.png,Pullover
107,1-133.png,Pullover
108,2-125.png,Shirt
109,2-125.png,Shirt
110,2-125.png,Shirt
111,0-227.png,Pullover
112,0-227.png,Pullover
113,0-227.png,Coat
114,0-134.png,Coat
115,0-134.png,Coat
116,0-134.png,Coat
117,2-16.png,Shirt
118,2-16.png,Coat
119,2-16.png,Shirt
120,2-31.png,Shirt
121,2-31.png,Shirt
122,2-31.png,Shirt
123,0-264.png,Pullover
124,0-264.png,Coat
125,0-264.png,Pullover
126,0-266.png,Coat
127,0-266.png,Coat
128,0-266.png,Coat
129,1-153.png,Pullover
130,1-153.png,Shirt
131,1-153.png,Pullover
132,0-212.png,Pullover
133,0-212.png,Shirt
134,0-212.png,Pullover
135,2-188.png,Shirt
136,2-188.png,Pullover
137,2-188.png,Pullover
138,0-68.png,Coat
139,0-68.png,Coat
140,0-68.png,Coat
141,0-167.png,Pullover
142,0-167.png,Pullover
143,0-167.png,Pullover
144,0-129.png,Shirt
145,0-129.png,Pullover
146,0-129.png,Pullover
147,2-26.png,Pullover
148,2-26.png,Shirt
149,2-26.png,Shirt
150,2-271.png,Shirt
151,2-271.png,Shirt
152,2-271.png,Shirt
153,1-207.png,Pullover
154,1-207.png,Pullover
155,1-207.png,Pullover
156,0-41.png,Coat
157,0-41.png,Pullover
158,0-41.png,Coat
159,0-61.png,Coat
160,0-61.png,Pullover
161,0-61.png,Pullover
162,2-297.png,Pullover
163,2-297.png,Shirt
164,2-297.png,Shirt
165,1-185.png,Pullover
166,1-185.png,Pullover
167,1-185.png,Shirt
168,1-162.png,Pullover
169,1-162.png,Pullover
170,1-162.png,Shirt
171,0-195.png,Coat
172,0-195.png,Coat
173,0-195.png,Coat
174,2-73.png,Shirt
175,2-73.png,Pullover
176,2-73.png,Shirt
177,2-24.png,Shirt
178,2-24.png,Shirt
179,2-24.png,Shirt
180,2-82.png,Pullover
181,2-82.png,Pullover
182,2-82.png,Pullover
183,0-221.png,Coat
184,0-221.png,Shirt
185,0-221.png,Shirt
186,2-175.png,Shirt
187,2-175.png,Shirt
188,2-175.png,Shirt
189,2-238.png,Shirt
190,2-238.png,Shirt
191,2-238.png,Pullover
192,1-175.png,Pullover
193,1-175.png,Pullover
194,1-175.png,Pullover
195,0-248.png,Pullover
196,0-248.png,Pullover
197,0-248.png,Coat
198,2-142.png,Coat
199,2-142.png,Shirt
200,2-142.png,Shirt
201,0-131.png,Pullover
202,0-131.png,Coat
203,0-131.png,Pullover
204,0-82.png,Coat
205,0-82.png,Coat
206,0-82.png,Coat
207,0-20.png,Pullover
208,0-20.png,Pullover
209,0-20.png,Coat
210,0-143.png,Coat
211,0-143.png,Shirt
212,0-143.png,Pullover
213,2-97.png,Shirt
214,2-97.png,Pullover
215,2-97.png,Pullover
216,0-24.png,Coat
217,0-24.png,Shirt
218,0-24.png,Coat
219,2-133.png,Shirt
220,2-133.png,Pullover
221,2-133.png,Coat
222,0-113.png,Pullover
223,0-113.png,Shirt
224,0-113.png,Pullover
225,1-166.png,Pullover
226,1-166.png,Pullover
227,1-166.png,Coat
228,0-269.png,Coat
229,0-269.png,Pullover
230,0-269.png,Pullover
231,0-224.png,Pullover
232,0-224.png,Pullover
233,0-224.png,Coat
234,1-111.png,Pullover
235,1-111.png,Coat
236,1-111.png,Pullover
237,0-168.png,Coat
238,0-168.png,Coat
239,0-168.png,Shirt
240,2-212.png,Shirt
241,2-212.png,Pullover
242,2-212.png,Shirt
243,0-169.png,Pullover
244,0-169.png,Shirt
245,0-169.png,Pullover
246,0-297.png,Pullover
247,0-297.png,Shirt
248,0-297.png,Pullover
249,0-118.png,Coat
250,0-118.png,Pullover
251,0-118.png,Coat
252,0-29.png,Coat
253,0-29.png,Coat
254,0-29.png,Coat
255,2-137.png,Shirt
256,2-137.png,Shirt
257,2-137.png,Shirt
258,0-144.png,Shirt
259,0-144.png,Pullover
260,0-144.png,Coat
261,1-233.png,Shirt
262,1-233.png,Pullover
263,1-233.png,Shirt
264,0-60.png,Pullover
265,0-60.png,Pullover
266,0-60.png,Pullover
267,2-288.png,Shirt
268,2-288.png,Shirt
269,2-288.png,Shirt
270,2-192.png,Shirt
271,2-192.png,Pullover
272,2-192.png,Coat
273,2-186.png,Pullover
274,2-186.png,Shirt
275,2-186.png,Shirt
276,1-12.png,Pullover
277,1-12.png,Pullover
278,1-12.png,Pullover
279,0-194.png,Shirt
280,0-194.png,Pullover
281,0-194.png,Coat
282,0-215.png,Pullover
283,0-215.png,Shirt
284,0-215.png,Shirt
285,0-155.png,Coat
286,0-155.png,Shirt
287,0-155.png,Coat
288,1-143.png,Pullover
